Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT (min),AvgCTAT (min),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value (INR),Payment_Mode,Ride Distance (km),Driver Ratings,Customer Rating
30-11-2025,02:10:37,BG-20251130-00049,Successful,CUST105459,Prime Sedan,Hebbal,Gottigere,7,2.4,0,NA,0,NA,0,NA,94.52,Cash,0.63,3.8,4.3
19-11-2025,13:42:35,BG-20251119-00050,Successful,CUST100978,Mini,Ulsoor,Ulsoor,3.1,4.4,0,NA,0,NA,0,NA,39.64,Credit Card,0.38,4.3,3.7
12-11-2025,13:08:19,BG-20251112-00051,Successful,CUST101937,Mini,Sadashivanagar,Chamarajpet,5.8,5,0,NA,0,NA,0,NA,51.03,Cash,0.3,4.8,4.6
23-11-2025,05:19:19,BG-20251123-00052,Successful,CUST103568,Prime Plus,Gottigere,Marathahalli,5,1.7,0,NA,0,NA,0,NA,126.06,Cash,3.97,4.9,3.7
20-11-2025,14:10:12,BG-20251120-00053,Successful,CUST104326,eBike,Kudlu Gate,Gottigere,2.4,2.3,0,NA,0,NA,0,NA,28.75,UPI,2.61,5,4.4
25-11-2025,16:28:25,BG-20251125-00054,Cancelled by Customer,CUST106471,Bike,Byatarayanapura,Electronic City,NA,NA,1,Change of plans,0,NA,0,NA,NA,Credit Card,NA,NA,NA
03-11-2025,04:45:06,BG-20251103-00055,Successful,CUST101238,Bike,Whitefield 2,Jakkur,2.1,2.3,0,NA,0,NA,0,NA,24.26,Credit Card,0.71,4.5,4.4
05-11-2025,16:08:43,BG-20251105-00056,Cancelled by Customer,CUST104467,Mini,Jakkur,Yelahanka,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,Wallet,NA,NA,NA
19-11-2025,02:25:20,BG-20251119-00057,Successful,CUST103336,Prime Plus,Banashankari,Kengeri,6.3,2.5,0,NA,0,NA,0,NA,127.92,UPI,3.31,4.8,5
07-11-2025,10:27:41,BG-20251107-00058,Cancelled by Driver,CUST105890,Prime Sedan,Srirampura,Marathahalli,NA,NA,0,NA,1,The customer was coughing/sick,0,NA,NA,Cash,NA,NA,NA
21-11-2025,05:52:00,BG-20251121-00059,Successful,CUST100098,Prime Sedan,Koramangala 4th Block,JP Nagar,5.5,2.4,0,NA,0,NA,0,NA,104.23,Credit Card,0.57,4.9,4.7
09-11-2025,05:29:50,BG-20251109-00060,Successful,CUST102979,Auto,Banaswadi,Banashankari,1.1,2.9,0,NA,0,NA,0,NA,25.71,UPI,1.41,5,4.4
07-11-2025,16:17:35,BG-20251107-00061,Successful,CUST105484,Prime Plus,Shivajinagar,MG Road,3.3,2.6,0,NA,0,NA,0,NA,71.12,UPI,0.8,4.6,4
18-11-2025,16:34:03,BG-20251118-00062,Successful,CUST102928,Bike,Domlur,Srirampura,3,4.8,0,NA,0,NA,0,NA,22.91,Wallet,1.13,5,5
04-11-2025,13:09:34,BG-20251104-00063,Successful,CUST105413,Mini,Outer Ring Road,Peenya,7.2,3.7,0,NA,0,NA,0,NA,91.06,Wallet,2.87,5,3.5
25-11-2025,11:55:07,BG-20251125-00064,Successful,CUST107807,Prime Sedan,Yelahanka,Yelahanka,6.8,2.9,0,NA,0,NA,0,NA,94.93,Wallet,0.78,4.5,4.1
28-11-2025,13:54:31,BG-20251128-00065,Successful,CUST101160,Mini,Frazer Town,Kalyan Nagar,6.8,3.4,0,NA,0,NA,0,NA,68.84,UPI,2.51,5,3.7
14-11-2025,09:40:12,BG-20251114-00066,Successful,CUST107395,Prime Sedan,JP Nagar,Banaswadi,10.7,4.4,0,NA,0,NA,0,NA,74.36,UPI,0.85,5,4.7
18-11-2025,13:46:10,BG-20251118-00067,Successful,CUST101479,Bike,Bommanahalli,Bommanahalli,3.2,2.4,0,NA,0,NA,0,NA,30.41,UPI,2.14,5,4.8
26-11-2025,14:08:21,BG-20251126-00068,Successful,CUST107004,Prime Sedan,Frazer Town,Malleshwaram,7.4,3.2,0,NA,0,NA,0,NA,97.74,Credit Card,0.85,4.4,4.4
09-11-2025,16:43:06,BG-20251109-00069,Successful,CUST107944,Prime Sedan,MG Road,Bommanahalli,7.8,5.7,0,NA,0,NA,0,NA,91.86,Credit Card,1.72,4.7,4.5
26-11-2025,13:57:31,BG-20251126-00070,Cancelled by Driver,CUST105277,Prime Plus,Richmond Town,Domlur,NA,NA,0,NA,1,The customer was coughing/sick,0,NA,NA,Credit Card,NA,NA,NA
21-11-2025,18:06:11,BG-20251121-00071,Cancelled by Driver,CUST100065,Prime Plus,Yelahanka New Town,Lalbagh,NA,NA,0,NA,1,The customer was coughing/sick,0,NA,NA,Credit Card,NA,NA,NA
02-11-2025,10:02:40,BG-20251102-00072,Successful,CUST106092,Auto,Vijayanagar,Bellandur,1.4,4.4,0,NA,0,NA,0,NA,48.4,Wallet,4.7,4.8,3.2
20-11-2025,05:19:16,BG-20251120-00073,Cancelled by Driver,CUST107985,Prime Sedan,Sadashivanagar,Sommanna Halli,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,Wallet,NA,NA,NA
28-11-2025,21:10:08,BG-20251128-00074,Successful,CUST102049,Mini,Adugodi,Gottigere,4,5,0,NA,0,NA,0,NA,61.76,Wallet,0.3,5,5
15-11-2025,22:13:00,BG-20251115-00075,Successful,CUST103513,Prime Plus,Sommanna Halli,Frazer Town,4.9,6.2,0,NA,0,NA,0,NA,118.03,Wallet,2.51,4.9,4.3
28-11-2025,20:05:20,BG-20251128-00076,Successful,CUST101963,eBike,Ulsoor,Jakkur,6.4,4.6,0,NA,0,NA,0,NA,52.33,Credit Card,6.28,5,5
07-11-2025,04:58:49,BG-20251107-00077,Cancelled by Driver,CUST100449,Bike,Sadashivanagar,Koramangala 4th Block,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Wallet,NA,NA,NA
12-11-2025,18:30:06,BG-20251112-00078,Cancelled by Customer,CUST101825,Prime Sedan,Sadashivanagar,JP Nagar,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,UPI,NA,NA,NA
29-11-2025,17:22:39,BG-20251129-00079,Cancelled by Customer,CUST104446,eBike,Outer Ring Road,Ulsoor,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,Credit Card,NA,NA,NA
08-11-2025,15:03:25,BG-20251108-00080,Successful,CUST104694,Prime Sedan,Hebbal,Cunningham Road,8.9,0.9,0,NA,0,NA,0,NA,209.01,Credit Card,8.34,5,4.2
15-11-2025,19:01:15,BG-20251115-00081,Cancelled by Customer,CUST107592,Prime Sedan,Hombegowda Nagar,Koramangala,NA,NA,1,Change of plans,0,NA,0,NA,NA,Wallet,NA,NA,NA
03-11-2025,17:52:21,BG-20251103-00082,Cancelled by Driver,CUST102953,Mini,Srirampura,Richmond Town,NA,NA,0,NA,1,The customer was coughing/sick,0,NA,NA,Credit Card,NA,NA,NA
14-11-2025,11:54:23,BG-20251114-00083,Successful,CUST105131,Prime Sedan,Shivajinagar,Indiranagar,9.1,2.9,0,NA,0,NA,0,NA,71.77,Cash,0.93,5,3.8
17-11-2025,22:43:57,BG-20251117-00084,Successful,CUST105158,Auto,Hebbal,Yeshwanthpur,3.6,4.4,0,NA,0,NA,0,NA,109.75,Wallet,9.08,4.8,4
04-11-2025,18:10:39,BG-20251104-00085,Cancelled by Customer,CUST102340,Prime Sedan,Cunningham Road,Nagarbhavi,NA,NA,1,Wrong Address,0,NA,0,NA,NA,Cash,NA,NA,NA
18-11-2025,01:59:54,BG-20251118-00086,Successful,CUST101793,Prime Plus,Sommanna Halli,Jayanagar,7.8,3.6,0,NA,0,NA,0,NA,138.59,Wallet,3.63,3.8,4.4
08-11-2025,19:49:47,BG-20251108-00087,Cancelled by Customer,CUST103852,Prime Plus,Jakkur,Malleshwaram,NA,NA,1,Wrong Address,0,NA,0,NA,NA,Cash,NA,NA,NA
04-11-2025,22:45:14,BG-20251104-00088,Cancelled by Customer,CUST101739,Prime Sedan,JP Nagar,HSR Layout,NA,NA,1,AC is not working,0,NA,0,NA,NA,Cash,NA,NA,NA
02-11-2025,18:23:34,BG-20251102-00089,Successful,CUST101860,eBike,Lalbagh,Lalbagh,4.7,4.6,0,NA,0,NA,0,NA,48.89,Cash,6.12,5,4.1
30-11-2025,08:16:17,BG-20251130-00090,Successful,CUST107608,Prime Plus,Jayanagar,Marathahalli,8.2,1.8,0,NA,0,NA,0,NA,170.69,UPI,6.99,4.4,3.7
06-11-2025,07:16:23,BG-20251106-00091,Successful,CUST101133,Prime Plus,Banaswadi,Chamarajpet,6.3,3.8,0,NA,0,NA,0,NA,131.25,Wallet,4.52,5,5
22-11-2025,07:37:25,BG-20251122-00092,Successful,CUST103354,Mini,Whitefield,Peenya,3.8,4.3,0,NA,0,NA,0,NA,124.69,Wallet,5.11,5,4.4
10-11-2025,18:37:18,BG-20251110-00093,Successful,CUST106187,Prime Plus,Kundalahalli,Outer Ring Road,7.4,5.1,0,NA,0,NA,0,NA,160.99,Credit Card,6.71,4.1,4.3
04-11-2025,04:29:58,BG-20251104-00094,Successful,CUST103405,Auto,Hebbal,Bommanahalli,2.3,2.1,0,NA,0,NA,0,NA,30.6,Credit Card,0.7,4.3,4.5
22-11-2025,05:56:51,BG-20251122-00095,Cancelled by Driver,CUST106817,eBike,Jayanagar,Marathahalli,NA,NA,0,NA,1,Customer related issue,0,NA,NA,Cash,NA,NA,NA
29-11-2025,14:02:57,BG-20251129-00096,Cancelled by Driver,CUST101627,Prime Plus,Ulsoor,Bellandur,NA,NA,0,NA,1,More than permitted people in there,0,NA,NA,Credit Card,NA,NA,NA
18-11-2025,04:24:27,BG-20251118-00097,Successful,CUST106143,Prime Plus,Lalbagh,Cunningham Road,7.1,2.2,0,NA,0,NA,0,NA,78.63,UPI,0.87,3.8,4.2
26-11-2025,17:21:41,BG-20251126-00098,Successful,CUST101090,Bike,Rajajinagar,Gottigere,6.7,2.4,0,NA,0,NA,0,NA,26.31,Wallet,0.73,4.2,4.1
12-11-2025,03:57:46,BG-20251112-00099,Successful,CUST106335,Mini,Yelahanka,Yelahanka,7,3.3,0,NA,0,NA,0,NA,52.72,Cash,0.55,3.9,4.1
02-11-2025,10:57:02,BG-20251102-00100,Successful,CUST107371,Prime Plus,Banashankari,Jayanagar,9.4,4.2,0,NA,0,NA,0,NA,185.61,Wallet,7.87,4.2,4.9
10-11-2025,09:46:48,BG-20251110-00101,Cancelled by Customer,CUST103944,Bike,Kengeri,Rajankunte,NA,NA,1,Wrong Address,0,NA,0,NA,NA,Wallet,NA,NA,NA
30-11-2025,08:40:13,BG-20251130-00102,Successful,CUST102042,Mini,Byatarayanapura,Byatarayanapura,5.2,4.4,0,NA,0,NA,0,NA,116.74,Credit Card,4.77,3.9,4.8
04-11-2025,02:02:47,BG-20251104-00103,Cancelled by Customer,CUST103372,Auto,Banaswadi,Adugodi,NA,NA,1,Wrong Address,0,NA,0,NA,NA,Cash,NA,NA,NA
14-11-2025,21:57:06,BG-20251114-00104,Successful,CUST107891,Prime Sedan,Whitefield 2,Yelahanka New Town,6.5,1.6,0,NA,0,NA,0,NA,222.64,Credit Card,7.89,4.3,4
16-11-2025,09:49:22,BG-20251116-00105,Successful,CUST107390,Mini,Sirsi Circle,Electronic City,5.3,4,0,NA,0,NA,0,NA,91.77,Credit Card,3.62,4.4,4.5
15-11-2025,14:19:48,BG-20251115-00106,Successful,CUST105208,Prime Plus,Sirsi Circle,Seshadripuram,6.8,1.6,0,NA,0,NA,0,NA,87.4,UPI,1.85,4.3,3.8
08-11-2025,10:38:05,BG-20251108-00107,Cancelled by Customer,CUST105230,Mini,Chamarajpet,Electronic City,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,Wallet,NA,NA,NA
14-11-2025,20:45:55,BG-20251114-00108,Cancelled by Driver,CUST107444,Auto,Kengeri,HSR Layout,NA,NA,0,NA,1,The customer was coughing/sick,0,NA,NA,Cash,NA,NA,NA
23-11-2025,19:57:26,BG-20251123-00109,Cancelled by Customer,CUST101237,eBike,Jayanagar,Whitefield 2,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,Cash,NA,NA,NA
28-11-2025,10:05:07,BG-20251128-00110,Successful,CUST101766,Mini,Outer Ring Road,Kudlu Gate,4.5,1.2,0,NA,0,NA,0,NA,131.37,UPI,6.21,4.2,5
25-11-2025,22:18:00,BG-20251125-00111,Successful,CUST102066,Prime Sedan,Jayanagar,Kudlu Gate,10.8,3.2,0,NA,0,NA,0,NA,92.63,Wallet,0.35,5,5
30-11-2025,05:31:07,BG-20251130-00112,Successful,CUST105781,Prime SUV,Vijayanagar,Kundalahalli,5.7,5,0,NA,0,NA,0,NA,119.57,Cash,0.63,4.7,4.1
08-11-2025,15:42:03,BG-20251108-00113,Incomplete,CUST104948,Prime Plus,Kalyan Nagar,Ulsoor,NA,NA,0,NA,0,NA,1,Vehicle Breakdown,NA,Credit Card,2.01,NA,NA
21-11-2025,23:22:41,BG-20251121-00114,Successful,CUST100116,Auto,Jayanagar,Nagarbhavi,4,1,0,NA,0,NA,0,NA,50.9,UPI,1.68,4.5,3.7
16-11-2025,01:46:18,BG-20251116-00115,Successful,CUST100659,eBike,Byatarayanapura,Marathahalli,3.8,4.2,0,NA,0,NA,0,NA,25.71,Cash,3.8,4.9,5
13-11-2025,23:31:25,BG-20251113-00116,Successful,CUST106987,Mini,Rajajinagar,Rajajinagar,7.3,3.3,0,NA,0,NA,0,NA,154.9,Cash,10.39,4.2,4.7
18-11-2025,21:22:38,BG-20251118-00117,Successful,CUST101518,Prime Sedan,Basavanagudi,Yelahanka New Town,9.4,3,0,NA,0,NA,0,NA,229.07,UPI,10.71,3.9,4.7
15-11-2025,07:45:26,BG-20251115-00118,Successful,CUST106626,Prime Sedan,Chamarajpet,Hombegowda Nagar,5.1,3.3,0,NA,0,NA,0,NA,96.35,UPI,2.03,5,4
21-11-2025,03:39:40,BG-20251121-00119,Successful,CUST100449,Mini,Jayanagar,JP Nagar,6.3,3.1,0,NA,0,NA,0,NA,49.03,Cash,1.06,4.3,4.6
24-11-2025,10:15:31,BG-20251124-00120,Successful,CUST101945,Prime Plus,Yelahanka New Town,Banashankari,8.7,0.8,0,NA,0,NA,0,NA,87.59,Wallet,2.06,5,5
26-11-2025,06:40:14,BG-20251126-00121,Cancelled by Customer,CUST103795,Prime SUV,Yelahanka,HSR Layout,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,Cash,NA,NA,NA
25-11-2025,22:11:12,BG-20251125-00122,Cancelled by Customer,CUST104604,Prime Plus,Banaswadi,Basavanagudi,NA,NA,1,Wrong Address,0,NA,0,NA,NA,UPI,NA,NA,NA
28-11-2025,16:15:02,BG-20251128-00123,Cancelled by Customer,CUST104542,eBike,Kudlu Gate,Koramangala,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,Cash,NA,NA,NA
28-11-2025,01:31:10,BG-20251128-00124,Cancelled by Driver,CUST100527,Mini,Sahakara Nagar,Electronic City,NA,NA,0,NA,1,Personal & Car related issues,0,NA,NA,Wallet,NA,NA,NA
28-11-2025,04:09:13,BG-20251128-00125,Successful,CUST107369,eBike,Bommanahalli,Ulsoor,2.7,2.6,0,NA,0,NA,0,NA,37.06,Credit Card,3.36,4.2,3.3
13-11-2025,10:41:47,BG-20251113-00126,Cancelled by Customer,CUST107227,Auto,Nagarbhavi,Rajankunte,NA,NA,1,Driver is not moving towards pickup location,0,NA,0,NA,NA,UPI,NA,NA,NA
09-11-2025,01:48:43,BG-20251109-00127,Successful,CUST103323,Mini,Whitefield 2,Bellandur,4.7,1.9,0,NA,0,NA,0,NA,62.82,Credit Card,2.08,4.6,4.5
29-11-2025,15:53:10,BG-20251129-00128,Successful,CUST100559,Bike,Koramangala,Whitefield,7.1,5.1,0,NA,0,NA,0,NA,71.91,Cash,10.73,3.9,4.1
15-11-2025,13:16:01,BG-20251115-00129,Cancelled by Customer,CUST104204,Prime SUV,Rajajinagar,Kengeri,NA,NA,1,Driver asked to cancel,0,NA,0,NA,NA,UPI,NA,NA,NA
13-11-2025,08:39:29,BG-20251113-00130,Cancelled by Customer,CUST106467,Auto,Outer Ring Road,Indiranagar,NA,NA,1,Change of plans,0,NA,0,NA,NA,Cash,NA,NA,NA
01-11-2025,12:40:41,BG-20251101-00131,Cancelled by Driver,CUST101229,Prime SUV,Rajajinagar,Richmond Town,NA,NA,0,NA,1,Customer related issue,0,NA,NA,Wallet,NA,NA,NA
25-11-2025,06:23:10,BG-20251125-00132,Successful,CUST103305,Auto,Chamarajpet,HSR Layout,5.2,4.8,0,NA,0,NA,0,NA,38.27,Cash,1.76,4.8,4.3
07-11-2025,08:14:21,BG-20251107-00133,Cancelled by Customer,CUST106663,Auto,Outer Ring Road,Gottigere,NA,NA,1,Change of plans,0,NA,0,NA,NA,Wallet,NA,NA,NA
09-11-2025,03:43:39,BG-20251109-00134,Successful,CUST103124,Prime Sedan,Koramangala 4th Block,Nagarbhavi,6,2.9,0,NA,0,NA,0,NA,220.74,Wallet,10.75,5,4.4
24-11-2025,04:00:57,BG-20251124-00135,Successful,CUST106809,Prime Plus,Bommanahalli,Sommanna Halli,8.5,5.8,0,NA,0,NA,0,NA,72.44,UPI,0.3,3.8,4.7
01-11-2025,18:46:40,BG-20251101-00136,Successful,CUST103633,Auto,Frazer Town,Ulsoor,4.4,2,0,NA,0,NA,0,NA,133.35,Credit Card,12.38,4.3,4.2
12-11-2025,21:08:22,BG-20251112-00137,Cancelled by Customer,CUST107485,Prime Sedan,Electronic City,Koramangala,NA,NA,1,AC is not working,0,NA,0,NA,NA,UPI,NA,NA,NA
08-11-2025,09:11:25,BG-20251108-00138,Incomplete,CUST107726,Prime Plus,Byatarayanapura,Byatarayanapura,NA,NA,0,NA,0,NA,1,Vehicle Breakdown,NA,Cash,0.28,NA,NA
24-11-2025,14:04:14,BG-20251124-00139,Successful,CUST100105,eBike,Sirsi Circle,Sirsi Circle,4,2.9,0,NA,0,NA,0,NA,47.82,Wallet,4.97,4.2,3.7
