Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT (min),AvgCTAT (min),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value (INR),Ride Distance (km),Driver Rating,Customer Rating,Payment Mode
2025-11-15,14:36:51,BG-20251115-00045,Cancelled by Customer,CUST107036,Prime Plus,Frazer Town,Rajajinagar,,,1,Wrong Address,0,,0,,,,,,Cash
2025-11-30,10:48:05,BG-20251130-00046,Successful,CUST106660,Mini,Marathahalli,Cunningham Road,5.1,4.2,0,,0,,0,,144.3,8.21,5.0,4.6,Credit Card
2025-11-30,14:45:44,BG-20251130-00047,Successful,CUST101088,Prime Sedan,Koramangala 4th Block,JP Nagar,4.5,0.9,0,,0,,0,,90.44,0.62,4.6,4.4,UPI
2025-11-15,18:07:00,BG-20251115-00048,Successful,CUST106309,Prime Sedan,Banashankari,Rajankunte,6.0,1.2,0,,0,,0,,76.94,0.79,4.7,4.9,UPI
2025-11-30,02:10:37,BG-20251130-00049,Successful,CUST105459,Mini,Gottigere,Sirsi Circle,6.5,2.4,0,,0,,0,,62.63,0.63,3.8,4.3,Wallet
2025-11-19,13:42:35,BG-20251119-00050,Successful,CUST100978,Mini,Srirampura,Outer Ring Road,3.9,4.4,0,,0,,0,,39.64,0.38,4.3,3.7,Wallet
2025-11-12,13:08:19,BG-20251112-00051,Successful,CUST101937,Prime Sedan,Yelahanka,Yelahanka,6.9,5.0,0,,0,,0,,81.93,0.3,4.8,4.6,Wallet
2025-11-23,05:19:19,BG-20251123-00052,Successful,CUST103568,Prime Plus,Kalyan Nagar,Kalyan Nagar,4.5,1.7,0,,0,,0,,126.06,3.97,4.9,3.7,UPI
2025-11-20,14:10:12,BG-20251120-00053,Successful,CUST104326,Prime Sedan,Gottigere,Gottigere,3.9,2.3,0,,0,,0,,114.24,2.61,5.0,4.4,UPI
2025-11-25,16:28:25,BG-20251125-00054,Cancelled by Customer,CUST106471,Prime SUV,Yelahanka,Yelahanka,,,1,AC is not working,0,,0,,,,,,UPI
2025-11-03,04:45:06,BG-20251103-00055,Successful,CUST101238,Prime Plus,Domlur,Rajajinagar,3.5,2.3,0,,0,,0,,75.49,0.71,4.5,4.4,Credit Card
2025-11-05,16:08:43,BG-20251105-00056,Cancelled by Customer,CUST104467,Prime Sedan,Hombegowda Nagar,Vijayanagar,,,1,Driver asked to cancel,0,,0,,,,,,Credit Card
2025-11-19,02:25:20,BG-20251119-00057,Successful,CUST103336,Prime Plus,Kudlu Gate,Yelahanka New Town,5.8,2.5,0,,0,,0,,127.92,3.31,4.8,5.0,Credit Card
2025-11-07,10:27:41,BG-20251107-00058,Cancelled by Driver,CUST105890,Auto,Vijayanagar,Bellandur,,,0,,1,More than permitted people in there,0,,,,,,Credit Card
2025-11-21,05:52:00,BG-20251121-00059,Successful,CUST100098,Mini,Shivajinagar,Kudlu Gate,5.0,2.4,0,,0,,0,,72.52,0.57,4.9,4.7,Wallet
2025-11-09,05:29:50,BG-20251109-00060,Successful,CUST102979,eBike,Gottigere,Kudlu Gate,1.1,2.9,0,,0,,0,,26.46,1.41,5.0,4.4,Wallet
2025-11-07,16:17:35,BG-20251107-00061,Successful,CUST105484,Prime Plus,Frazer Town,Seshadripuram,2.8,2.6,0,,0,,0,,71.12,0.8,4.6,4.0,Wallet
2025-11-18,16:34:03,BG-20251118-00062,Successful,CUST102928,Prime Plus,Rajankunte,Shivajinagar,4.6,4.8,0,,0,,0,,81.95,1.13,5.0,5.0,Wallet
2025-11-04,13:09:34,BG-20251104-00063,Successful,CUST105413,eBike,Byatarayanapura,Domlur,5.9,3.7,0,,0,,0,,41.84,2.87,5.0,3.5,Credit Card
2025-11-25,11:55:07,BG-20251125-00064,Successful,CUST107807,Prime SUV,Rajajinagar,Srirampura,6.3,2.9,0,,0,,0,,128.83,0.78,4.5,4.1,Wallet
2025-11-28,13:54:31,BG-20251128-00065,Successful,CUST101160,Prime Plus,Banashankari,Banashankari,8.0,3.4,0,,0,,0,,93.86,2.51,5.0,3.7,UPI
2025-11-14,09:40:12,BG-20251114-00066,Successful,CUST107395,Prime Sedan,Hebbal,Cunningham Road,10.2,4.4,0,,0,,0,,74.36,0.85,5.0,4.7,Credit Card
2025-11-18,13:46:10,BG-20251118-00067,Successful,CUST101479,eBike,Koramangala,Rajajinagar 2,3.2,2.4,0,,0,,0,,28.41,2.14,5.0,4.8,Credit Card
2025-11-26,14:08:21,BG-20251126-00068,Successful,CUST107004,Prime Sedan,Frazer Town,Outer Ring Road,6.9,3.2,0,,0,,0,,97.74,0.85,4.4,4.4,Wallet
2025-11-09,16:43:06,BG-20251109-00069,Successful,CUST107944,Prime SUV,Vijayanagar,Whitefield 2,7.3,5.7,0,,0,,0,,130.46,1.72,4.7,4.5,Credit Card
2025-11-26,13:57:31,BG-20251126-00070,Cancelled by Driver,CUST105277,Bike,Indiranagar,Cunningham Road,,,0,,1,Customer related issue,0,,,,,,Cash
2025-11-21,18:06:11,BG-20251121-00071,Cancelled by Driver,CUST100065,Prime Sedan,Cunningham Road,Nagarbhavi,,,0,,1,More than permitted people in there,0,,,,,,Wallet
2025-11-02,10:02:40,BG-20251102-00072,Successful,CUST106092,Prime Plus,Sommanna Halli,Jayanagar,0.4,2.2,0,,0,,0,,143.07,4.7,4.0,4.7,Cash
2025-11-20,05:19:16,BG-20251120-00073,Cancelled by Driver,CUST106105,Mini,Malleshwaram,Domlur,,,0,,1,The customer was coughing/sick,0,,,,,,Wallet
2025-11-28,21:10:08,BG-20251128-00074,Successful,CUST107596,Auto,HSR Layout,Malleshwaram,2.1,1.7,0,,0,,0,,23.28,1.15,4.8,4.7,Cash
2025-11-15,22:13:00,BG-20251115-00075,Successful,CUST103500,Auto,Whitefield 2,Lalbagh,4.6,4.7,0,,0,,0,,85.64,4.62,5.0,4.6,Cash
2025-11-28,20:05:20,BG-20251128-00076,Successful,CUST107353,Prime Plus,Jayanagar,Marathahalli,7.8,3.7,0,,0,,0,,230.03,10.51,4.9,4.3,Cash
2025-11-07,04:58:49,BG-20251107-00077,Cancelled by Driver,CUST101963,Prime Sedan,Chamarajpet,Chamarajpet,,,0,,1,The customer was coughing/sick,0,,,,,,UPI
2025-11-12,18:30:06,BG-20251112-00078,Cancelled by Customer,CUST103088,Bike,Koramangala,HSR Layout,,,1,Wrong Address,0,,0,,,,,,Wallet
2025-11-29,17:22:39,BG-20251129-00079,Cancelled by Customer,CUST102490,Prime Plus,Basavanagudi,Hebbal,,,1,Driver is not moving towards pickup location,0,,0,,,,,,Wallet
2025-11-08,15:03:25,BG-20251108-00080,Successful,CUST100140,Prime SUV,Ulsoor,Hebbal,9.3,2.0,0,,0,,0,,173.32,2.96,4.1,4.1,Credit Card
2025-11-15,19:01:15,BG-20251115-00081,Cancelled by Customer,CUST105280,Mini,Yelahanka New Town,Chamarajpet,,,1,Driver asked to cancel,0,,0,,,,,,Credit Card
2025-11-03,17:52:21,BG-20251103-00082,Cancelled by Driver,CUST107307,eBike,Byatarayanapura,Yelahanka,,,0,,1,More than permitted people in there,0,,,,,,Cash
2025-11-14,11:54:23,BG-20251114-00083,Successful,CUST103564,Auto,Sommanna Halli,Lalbagh,4.6,5.6,0,,0,,0,,74.22,4.41,4.3,3.7,Credit Card
2025-11-17,22:43:57,BG-20251117-00084,Successful,CUST100027,Bike,Rajajinagar 2,Byatarayanapura,3.0,2.9,0,,0,,0,,25.58,0.93,5.0,3.8,UPI
2025-11-04,18:10:39,BG-20251104-00085,Cancelled by Customer,CUST105158,eBike,JP Nagar,Banaswadi,,,1,Change of plans,0,,0,,,,,,Wallet
2025-11-18,01:59:54,BG-20251118-00086,Successful,CUST103109,eBike,Yelahanka New Town,Sadashivanagar,4.6,3.1,0,,0,,0,,20.34,0.39,4.6,4.8,Cash
2025-11-08,19:49:47,BG-20251108-00087,Cancelled by Customer,CUST100835,Mini,Kengeri,Electronic City,,,1,Wrong Address,0,,0,,,,,,Wallet
2025-11-04,22:45:14,BG-20251104-00088,Cancelled by Customer,CUST104154,eBike,Electronic City,Whitefield 2,,,1,Driver is not moving towards pickup location,0,,0,,,,,,Wallet
2025-11-02,18:23:34,BG-20251102-00089,Successful,CUST102778,Prime Plus,HSR Layout,Yelahanka,5.1,5.1,0,,0,,0,,70.71,0.46,4.9,4.0,Credit Card
2025-11-30,08:16:17,BG-20251130-00090,Successful,CUST103721,eBike,Jayanagar,Whitefield 2,4.3,1.3,0,,0,,0,,25.92,1.49,4.7,4.8,Cash
2025-11-06,07:16:23,BG-20251106-00091,Successful,CUST102120,Mini,Outer Ring Road,Kudlu Gate,6.8,5.3,0,,0,,0,,51.47,0.7,4.9,5.0,Credit Card
2025-11-22,07:37:25,BG-20251122-00092,Successful,CUST107825,Auto,Kudlu Gate,Malleshwaram,5.8,3.8,0,,0,,0,,34.61,0.63,5.0,5.0,Credit Card
2025-11-10,18:37:18,BG-20251110-00093,Successful,CUST107798,Mini,Banashankari,HSR Layout,5.4,5.4,0,,0,,0,,88.53,1.04,4.4,4.5,UPI
2025-11-04,04:29:58,BG-20251104-00094,Successful,CUST104989,Mini,Indiranagar,Jayanagar,8.6,2.6,0,,0,,0,,97.8,3.22,5.0,4.3,Wallet
2025-11-22,05:56:51,BG-20251122-00095,Cancelled by Driver,CUST101627,Mini,Domlur,Hombegowda Nagar,,,0,,1,More than permitted people in there,0,,,,,,Cash
2025-11-29,14:02:57,BG-20251129-00096,Cancelled by Driver,CUST106143,Auto,Koramangala,Kalyan Nagar,,,0,,1,The customer was coughing/sick,0,,,,,,Cash
2025-11-18,04:24:27,BG-20251118-00097,Successful,CUST106317,eBike,Hombegowda Nagar,Byatarayanapura,4.9,1.7,0,,0,,0,,30.6,2.1,4.7,4.4,UPI
2025-11-26,17:21:41,BG-20251126-00098,Successful,CUST101105,Auto,Koramangala 4th Block,Chamarajpet,5.6,3.3,0,,0,,0,,54.74,3.56,4.5,4.5,Wallet
2025-11-12,03:57:46,BG-20251112-00099,Successful,CUST100813,Prime Plus,Jakkur,Yelahanka,6.5,3.5,0,,0,,0,,175.3,8.68,5.0,4.2,Cash
2025-11-02,10:57:02,BG-20251102-00100,Successful,CUST107464,Prime SUV,Indiranagar,Lalbagh,9.5,3.0,0,,0,,0,,152.54,1.41,4.2,4.8,Credit Card
2025-11-10,09:46:48,BG-20251110-00101,Cancelled by Customer,CUST102042,Auto,Bommanahalli,Hombegowda Nagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,,UPI
2025-11-30,08:40:13,BG-20251130-00102,Successful,CUST106467,eBike,Yelahanka,Yeshwanthpur,2.2,4.4,0,,0,,0,,58.01,3.3,4.7,4.7,Cash
2025-11-04,02:02:47,BG-20251104-00103,Cancelled by Customer,CUST100422,Prime Plus,Yelahanka New Town,MG Road,,,1,Wrong Address,0,,0,,,,,,Cash
2025-11-14,21:57:06,BG-20251114-00104,Successful,CUST106699,Prime SUV,Nagarbhavi,Rajankunte,6.8,3.1,0,,0,,0,,118.65,0.65,4.4,4.0,UPI
2025-11-16,09:49:22,BG-20251116-00105,Successful,CUST101479,Mini,Whitefield 2,Bellandur,6.1,3.3,0,,0,,0,,63.51,0.94,4.0,4.2,UPI
2025-11-15,14:19:48,BG-20251115-00106,Successful,CUST104709,Auto,Vijayanagar,Marathahalli,4.2,4.0,0,,0,,0,,52.29,3.62,4.4,4.5,Cash
2025-11-08,10:38:05,BG-20251108-00107,Cancelled by Customer,CUST105208,Prime Sedan,Kengeri,Kengeri,,,1,Driver is not moving towards pickup location,0,,0,,,,,,Wallet
2025-11-14,20:45:55,BG-20251114-00108,Cancelled by Driver,CUST105723,Prime Sedan,Rajajinagar,Richmond Town,,,0,,1,Personal & Car related issues,0,,,,,,Cash
2025-11-23,19:57:26,BG-20251123-00109,Cancelled by Customer,CUST104606,Prime SUV,Chamarajpet,HSR Layout,,,1,Wrong Address,0,,0,,,,,,UPI
2025-11-28,10:05:07,BG-20251128-00110,Successful,CUST100041,Prime SUV,Kundalahalli,Kundalahalli,6.3,3.1,0,,0,,0,,148.79,1.44,4.7,4.8,Cash
2025-11-25,22:18:00,BG-20251125-00111,Successful,CUST105049,Bike,Ulsoor,Bommanahalli,5.2,5.6,0,,0,,0,,39.73,2.42,3.8,4.2,Wallet
2025-11-30,05:31:07,BG-20251130-00112,Successful,CUST103944,Auto,Frazer Town,Ulsoor,4.9,5.5,0,,0,,0,,41.19,0.3,5.0,3.6,Credit Card
2025-11-08,15:42:03,BG-20251108-00113,Incomplete,CUST100461,Prime Plus,Koramangala,Sommanna Halli,,,0,,0,,1,Vehicle Breakdown,,1.38,,,UPI
2025-11-21,23:22:41,BG-20251121-00114,Successful,CUST105785,Prime Plus,Byatarayanapura,Byatarayanapura,8.7,3.4,0,,0,,0,,191.67,9.23,4.3,4.4,Credit Card
2025-11-16,01:46:18,BG-20251116-00115,Successful,CUST103343,eBike,Sirsi Circle,Sirsi Circle,4.9,6.5,0,,0,,0,,63.11,4.55,4.5,3.5,Cash
2025-11-13,23:31:25,BG-20251113-00116,Successful,CUST102811,Mini,Bellandur,Vijayanagar,9.4,2.0,0,,0,,0,,142.58,6.51,4.4,4.5,UPI
2025-11-18,21:22:38,BG-20251118-00117,Successful,CUST107955,eBike,Bommanahalli,Sadashivanagar,4.4,3.0,0,,0,,0,,48.76,7.59,4.6,5.0,Cash
2025-11-15,07:45:26,BG-20251115-00118,Successful,CUST107285,Prime Sedan,Malleshwaram,Lalbagh,7.9,5.4,0,,0,,0,,101.74,1.34,4.4,4.0,Wallet
2025-11-21,03:39:40,BG-20251121-00119,Successful,CUST103685,eBike,Vijayanagar,Whitefield 2,4.3,3.0,0,,0,,0,,20.81,0.48,5.0,4.0,Cash
2025-11-24,10:15:31,BG-20251124-00120,Successful,CUST100449,eBike,Kudlu Gate,Whitefield 2,5.0,3.1,0,,0,,0,,24.36,1.06,4.3,4.6,Wallet
2025-11-26,06:40:14,BG-20251126-00121,Cancelled by Customer,CUST101945,Auto,Domlur,Indiranagar,,,1,Wrong Address,0,,0,,,,,,Wallet
2025-11-25,22:11:12,BG-20251125-00122,Cancelled by Customer,CUST104934,Bike,Nagarbhavi,Hombegowda Nagar,,,1,Driver asked to cancel,0,,0,,,,,,UPI
2025-11-28,16:15:02,BG-20251128-00123,Cancelled by Customer,CUST106790,Auto,Sirsi Circle,Kudlu Gate,,,1,Driver asked to cancel,0,,0,,,,,,Credit Card
2025-11-28,01:31:10,BG-20251128-00124,Cancelled by Driver,CUST105063,eBike,Srirampura,Kudlu Gate,,,0,,1,Personal & Car related issues,0,,,,,,UPI
2025-11-28,04:09:13,BG-20251128-00125,Successful,CUST101853,Prime Plus,Peenya,Rajajinagar 2,8.2,2.8,0,,0,,0,,163.77,6.7,5.0,5.0,Cash
2025-11-13,10:41:47,BG-20251113-00126,Cancelled by Customer,CUST103795,Mini,Ulsoor,Ulsoor,,,1,Change of plans,0,,0,,,,,,Wallet
2025-11-09,01:48:43,BG-20251109-00127,Successful,CUST104604,Prime Sedan,Adugodi,Sadashivanagar,5.4,5.4,0,,0,,0,,124.08,2.85,5.0,5.0,Wallet
2025-11-29,15:53:10,BG-20251129-00128,Successful,CUST101770,eBike,Banaswadi,Banaswadi,3.5,2.1,0,,0,,0,,21.48,1.32,4.6,3.4,Credit Card
2025-11-15,13:16:01,BG-20251115-00129,Cancelled by Customer,CUST100560,Prime Sedan,Kengeri,Ulsoor,,,1,Driver asked to cancel,0,,0,,,,,,Cash
2025-11-13,08:39:29,BG-20251113-00130,Cancelled by Customer,CUST107245,Mini,Rajankunte,Kundalahalli,,,1,Driver is not moving towards pickup location,0,,0,,,,,,UPI
2025-11-01,12:40:41,BG-20251101-00131,Cancelled by Driver,CUST100471,Auto,Rajajinagar,Whitefield,,,0,,1,Customer related issue,0,,,,,,Cash
2025-11-25,06:23:10,BG-20251125-00132,Successful,CUST100027,Prime Plus,JP Nagar,Electronic City,7.4,1.6,0,,0,,0,,120.23,2.37,4.8,3.7,Cash
2025-11-07,08:14:21,BG-20251107-00133,Cancelled by Customer,CUST107646,Prime Plus,Gottigere,JP Nagar,,,1,Change of plans,0,,0,,,,,,Wallet
2025-11-09,03:43:39,BG-20251109-00134,Successful,CUST101002,Prime Plus,Kengeri,Srirampura,4.0,2.8,0,,0,,0,,68.89,0.3,4.6,3.8,Cash
2025-11-24,04:00:57,BG-20251124-00135,Successful,CUST106059,Prime Sedan,Banaswadi,Cunningham Road,2.5,3.0,0,,0,,0,,180.3,6.79,4.7,3.5,Cash
2025-11-01,18:46:40,BG-20251101-00136,Successful,CUST101516,Prime Sedan,Sadashivanagar,Sadashivanagar,7.9,5.8,0,,0,,0,,82.74,0.3,3.8,4.7,Credit Card
2025-11-12,21:08:22,BG-20251112-00137,Cancelled by Customer,CUST103633,Mini,Marathahalli,HSR Layout,,,1,Wrong Address,0,,0,,,,,,Wallet
2025-11-08,09:11:25,BG-20251108-00138,Incomplete,CUST106678,Prime SUV,Sadashivanagar,Sadashivanagar,,,0,,0,,1,Vehicle Breakdown,,0.74,,,Wallet
2025-11-24,14:04:14,BG-20251124-00139,Successful,CUST102135,Prime SUV,JP Nagar,Kudlu Gate,5.9,5.2,0,,0,,0,,109.6,0.3,4.8,4.1,Credit Card
2025-11-11,01:42:10,BG-20251111-00140,Cancelled by Driver,CUST101733,Bike,Bommanahalli,Yeshwanthpur,,,0,,1,The customer was coughing/sick,0,,,,,,Cash
2025-11-19,00:34:02,BG-20251119-00141,Successful,CUST100381,Mini,Byatarayanapura,Bellandur,6.5,2.3,0,,0,,0,,47.51,0.41,4.6,4.6,Wallet
2025-11-17,19:28:54,BG-20251117-00142,Successful,CUST107392,Bike,Lalbagh,Lalbagh,6.8,1.6,0,,0,,0,,50.76,4.25,4.5,4.5,Cash
2025-11-08,11:56:22,BG-20251108-00143,Successful,CUST100157,eBike,Jakkur,Rajajinagar,4.6,2.2,0,,0,,0,,42.94,4.62,4.5,4.4,Cash
2025-11-03,18:06:25,BG-20251103-00144,Successful,CUST105477,Auto,Koramangala,Gottigere,2.4,2.7,0,,0,,0,,70.11,7.09,4.5,3.2,Credit Card
2025-11-03,09:17:57,BG-20251103-00145,Incomplete,CUST106308,Mini,Sommanna Halli,Outer Ring Road,,,0,,0,,1,Vehicle Breakdown,,2.47,,,Credit Card
2025-11-01,14:38:29,BG-20251101-00146,Cancelled by Customer,CUST105757,Mini,Bellandur,Adugodi,,,1,Wrong Address,0,,0,,,,,,UPI
2025-11-27,07:58:36,BG-20251127-00147,Successful,CUST103373,Auto,Marathahalli,Cunningham Road,4.5,2.7,0,,0,,0,,22.9,1.15,4.3,4.8,Wallet
2025-11-05,21:42:17,BG-20251105-00148,Cancelled by Customer,CUST102755,Prime Sedan,Vijayanagar,Kudlu Gate,,,1,Change of plans,0,,0,,,,,,Wallet
2025-11-10,10:00:18,BG-20251110-00149,Cancelled by Customer,CUST104298,eBike,Marathahalli,Srirampura,,,1,Wrong Address,0,,0,,,,,,Cash
2025-11-07,02:14:21,BG-20251107-00150,Successful,CUST104142,Auto,Peenya,Nagarbhavi,2.3,3.2,0,,0,,0,,53.21,3.21,5.0,4.7,UPI
2025-11-26,02:23:29,BG-20251126-00151,Successful,CUST104358,eBike,Chamarajpet,Adugodi,4.3,4.9,0,,0,,0,,31.33,0.72,4.5,4.3,Wallet
